"R{""p_coumaric_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 1.38
7200, 1.19
10800, 1.57
14400, 1.24
18000, 1.34
21600, 1.11
25200, 1.32
28800, 1.47
32400, 1.12
36000, 1.39
39600, 1.13
43200, 1.33
46800, 1.14
50400, 1.02
54000, 1.23
57600, 1.31
61200, 1.34
64800, 1.19
68400, 1.46
72000, 1.48
75600, 1.46
79200, 1.33
82800, 1.15
86400, 1.48
90000, 1.24
93600, 1.29
97200, 1.23
100800, 1.37
104400, 1.47
108000, 1.36
111600, 1.25
115200, 1.59
118800, 1.4
122400, 1.14
126000, 1.3
129600, 1.31
133200, 1.27
136800, 1.16
140400, 1.3
144000, 1.06
147600, 1.41
151200, 1.25
154800, 1.33
158400, 1.37
162000, 1.22
165600, 1.45
169200, 1.37
172800, 1.38

"R{""caffeic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 4.03
7200, 4.32
10800, 4.35
14400, 4.18
18000, 4.21
21600, 4.57
25200, 4.58
28800, 4.52
32400, 4.06
36000, 4.59
39600, 4.54
43200, 4.44
46800, 4.5
50400, 4.48
54000, 4.12
57600, 4.47
61200, 4.15
64800, 4.37
68400, 4.41
72000, 4.59
75600, 4.09
79200, 4.37
82800, 4.56
86400, 4.3
90000, 4.47
93600, 4.57
97200, 4.33
100800, 4.44
104400, 4.14
108000, 4.17
111600, 4.3
115200, 4.66
118800, 4.17
122400, 4.4
126000, 4.0
129600, 4.38
133200, 4.23
136800, 4.07
140400, 4.53
144000, 4.46
147600, 4.09
151200, 4.37
154800, 4.52
158400, 4.32
162000, 4.4
165600, 3.93
169200, 4.35
172800, 4.52

"R{""ferulic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.01
7200, 0.0
10800, 0.0
14400, 0.02
18000, 0.0
21600, 0.0
25200, 0.0
28800, 0.0
32400, 0.01
36000, 0.0
39600, 0.01
43200, 0.0
46800, 0.01
50400, 0.0
54000, 0.01
57600, 0.0
61200, 0.0
64800, 0.01
68400, 0.0
72000, 0.01
75600, 0.0
79200, 0.0
82800, 0.0
86400, 0.01
90000, 0.0
93600, 0.01
97200, 0.0
100800, 0.0
104400, 0.01
108000, 0.0
111600, 0.01
115200, 0.0
118800, 0.0
122400, 0.0
126000, 0.0
129600, 0.0
133200, 0.0
136800, 0.01
140400, 0.0
144000, 0.0
147600, 0.0
151200, 0.0
154800, 0.0
158400, 0.0
162000, 0.01
165600, 0.0
169200, 0.0
172800, 0.0

"R{""p_coumaroyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 2.04
7200, 1.94
10800, 1.9
14400, 2.05
18000, 2.04
21600, 1.9
25200, 1.99
28800, 1.78
32400, 2.05
36000, 1.94
39600, 2.34
43200, 2.14
46800, 2.26
50400, 2.0
54000, 1.93
57600, 2.19
61200, 2.04
64800, 1.97
68400, 1.9
72000, 2.13
75600, 1.98
79200, 2.0
82800, 1.81
86400, 2.03
90000, 1.96
93600, 2.08
97200, 1.99
100800, 1.97
104400, 2.0
108000, 2.23
111600, 1.89
115200, 2.1
118800, 2.03
122400, 1.73
