"R{""p_coumaric_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.49
7200, 0.65
10800, 0.62
14400, 0.62
18000, 0.5
21600, 0.79
25200, 0.6
28800, 0.55
32400, 0.61
36000, 0.52
39600, 0.63
43200, 0.56
46800, 0.58
50400, 0.63
54000, 0.64
57600, 0.47
61200, 0.58
64800, 0.52
68400, 0.6
72000, 0.62
75600, 0.64
79200, 0.59
82800, 0.54
86400, 0.63
90000, 0.58
93600, 0.59
97200, 0.63
100800, 0.74
104400, 0.64
108000, 0.79
111600, 0.6
115200, 0.54
118800, 0.7
122400, 0.64
126000, 0.6
129600, 0.49
133200, 0.76
136800, 0.62
140400, 0.67
144000, 0.7
147600, 0.64
151200, 0.6
154800, 0.45
158400, 0.62
162000, 0.77
165600, 0.67
169200, 0.57
172800, 0.52

"R{""caffeic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 2.23
7200, 2.37
10800, 2.33
14400, 2.19
18000, 2.09
21600, 2.03
25200, 2.05
28800, 2.25
32400, 2.06
36000, 2.3
39600, 2.28
43200, 2.1
46800, 2.04
50400, 2.17
54000, 2.37
57600, 1.83
61200, 2.17
64800, 1.87
68400, 2.12
72000, 2.11
75600, 2.06
79200, 2.11
82800, 1.99
86400, 2.17
90000, 2.22
93600, 2.19
97200, 2.29
100800, 2.47
104400, 2.43
108000, 1.89
111600, 2.18
115200, 2.47
118800, 2.29
122400, 2.29
126000, 2.13
129600, 2.1
133200, 2.2
136800, 1.82
140400, 2.29
144000, 2.09
147600, 2.14
151200, 2.39
154800, 2.08
158400, 2.01
162000, 2.17
165600, 2.38
169200, 1.75
172800, 2.11

"R{""ferulic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.0
7200, 0.0
10800, 0.0
14400, 0.0
18000, 0.0
21600, 0.0
25200, 0.0
28800, 0.0
32400, 0.01
36000, 0.0
39600, 0.0
43200, 0.01
46800, 0.01
50400, 0.0
54000, 0.0
57600, 0.0
61200, 0.0
64800, 0.0
68400, 0.0
72000, 0.0
75600, 0.0
79200, 0.0
82800, 0.0
86400, 0.01
90000, 0.0
93600, 0.0
97200, 0.0
100800, 0.0
104400, 0.0
108000, 0.0
111600, 0.0
115200, 0.0
118800, 0.0
122400, 0.0
126000, 0.0
129600, 0.0
133200, 0.0
136800, 0.0
140400, 0.0
144000, 0.03
147600, 0.0
151200, 0.0
154800, 0.0
158400, 0.0
162000, 0.0
165600, 0.0
169200, 0.01
172800, 0.0

"R{""p_coumaroyl_CoA_produced""}=? [ I=T ]"
T, Result
