"R{""p_coumaric_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.78
7200, 0.61
10800, 0.66
14400, 0.66
18000, 0.68
21600, 0.54
25200, 0.65
28800, 0.58
32400, 0.66
36000, 0.64
39600, 0.64
43200, 0.71
46800, 0.76
50400, 0.68
54000, 0.63
57600, 0.68
61200, 0.59
64800, 0.53
68400, 0.55
72000, 0.53
75600, 0.74
79200, 0.61
82800, 0.64
86400, 0.63
90000, 0.59
93600, 0.71
97200, 0.73
100800, 0.57
104400, 0.58
108000, 0.61
111600, 0.61
115200, 0.63
118800, 0.65
122400, 0.61
126000, 0.5
129600, 0.57
133200, 0.61
136800, 0.64
140400, 0.53
144000, 0.63
147600, 0.56
151200, 0.57
154800, 0.71
158400, 0.72
162000, 0.66
165600, 0.51
169200, 0.68
172800, 0.66

"R{""caffeic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 2.14
7200, 2.4
10800, 2.2
14400, 1.91
18000, 2.15
21600, 2.29
25200, 2.37
28800, 2.11
32400, 2.33
36000, 2.17
39600, 2.27
43200, 2.44
46800, 2.04
50400, 1.97
54000, 1.87
57600, 2.19
61200, 2.15
64800, 2.19
68400, 1.92
72000, 2.44
75600, 2.33
79200, 2.17
82800, 2.1
86400, 2.27
90000, 2.3
93600, 2.51
97200, 1.74
100800, 2.22
104400, 1.85
108000, 1.94
111600, 2.25
115200, 2.11
118800, 2.3
122400, 2.01
126000, 1.97
129600, 2.02
133200, 2.28
136800, 2.01
140400, 2.16
144000, 2.07
147600, 2.11
151200, 2.5
154800, 2.05
158400, 1.95
162000, 2.14
165600, 2.04
169200, 2.17
172800, 2.12

"R{""ferulic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.0
7200, 0.0
10800, 0.0
14400, 0.0
18000, 0.0
21600, 0.0
25200, 0.01
28800, 0.0
32400, 0.0
36000, 0.0
39600, 0.0
43200, 0.0
46800, 0.0
50400, 0.02
54000, 0.0
57600, 0.0
61200, 0.0
64800, 0.0
68400, 0.01
72000, 0.0
75600, 0.0
79200, 0.0
82800, 0.0
86400, 0.0
90000, 0.0
93600, 0.0
97200, 0.0
100800, 0.0
104400, 0.0
108000, 0.0
111600, 0.0
115200, 0.0
118800, 0.0
122400, 0.01
126000, 0.02
129600, 0.01
133200, 0.0
136800, 0.0
140400, 0.0
144000, 0.0
147600, 0.01
151200, 0.01
154800, 0.0
158400, 0.0
162000, 0.0
165600, 0.0
169200, 0.0
172800, 0.0

"R{""p_coumaroyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.78
7200, 0.64
10800, 0.87
14400, 0.91
18000, 0.79
21600, 0.89
25200, 0.81
28800, 0.9
32400, 0.78
36000, 0.95
39600, 0.79
43200, 0.85
46800, 0.83
50400, 0.91
54000, 0.88
57600, 0.91
61200, 0.91
64800, 0.99
68400, 0.91
72000, 0.98
75600, 0.9
79200, 0.85
82800, 0.91
86400, 0.69
90000, 0.8
93600, 0.95
97200, 0.78
100800, 0.67
104400, 0.88
108000, 1.09
111600, 0.89
115200, 0.86
118800, 0.85
122400, 0.88
126000, 0.86
129600, 0.98
133200, 0.95
136800, 0.81
140400, 1.07
144000, 0.89
147600, 0.94
151200, 0.9
154800, 1.02
158400, 0.89
162000, 0.98
165600, 0.77
169200, 0.83
172800, 0.97

"R{""caffeoyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 2.28
7200, 2.27
10800, 2.19
14400, 2.22
18000, 2.3
21600, 2.12
25200, 2.36
28800, 2.34
32400, 2.35
36000, 2.1
39600, 2.21
43200, 2.47
46800, 2.18
50400, 2.25
54000, 2.32
57600, 2.49
61200, 2.14
64800, 2.45
68400, 1.94
72000, 2.17
75600, 2.2
79200, 2.14
82800, 2.34
86400, 2.39
90000, 2.31
93600, 2.32
97200, 2.37
100800, 2.29
104400, 2.43
108000, 2.37
111600, 2.18
115200, 2.23
118800, 2.06
122400, 2.17
126000, 2.28
129600, 2.5
133200, 2.43
136800, 2.05
140400, 2.2
144000, 2.6
147600, 2.07
151200, 2.03
154800, 2.31
158400, 2.23
162000, 2.35
165600, 2.1
169200, 2.34
172800, 2.26

"R{""feruloyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 4837.57
7200, 9673.35
10800, 14527.87
14400, 19372.4
18000, 24234.25
21600, 29069.88
25200, 33922.15
28800, 38765.44
32400, 43599.77
36000, 48456.24
39600, 53292.38
43200, 58135.85
46800, 62986.04
50400, 67834.5
54000, 72674.28
57600, 77517.74
61200, 82344.97
64800, 87180.09
68400, 92025.77
72000, 96880.87
75600, 101722.42
79200, 106562.76
82800, 111404.41
86400, 116252.35
90000, 121092.24
93600, 125932.12
97200, 130779.68
100800, 135611.44
104400, 140449.13
108000, 145289.41
111600, 150117.44
115200, 154952.72
118800, 159798.21
122400, 164638.11
126000, 169487.63
129600, 174333.57
133200, 179177.45
136800, 184026.83
140400, 188873.6
144000, 193720.88
147600, 198561.8
151200, 203401.81
154800, 208247.28
158400, 213079.61
162000, 217926.11
165600, 222767.83
169200, 227616.7
172800, 232446.73

"R{""feruloylacetyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 84.72
7200, 171.44
10800, 257.54
14400, 342.6
18000, 428.46
21600, 514.75
25200, 601.65
28800, 687.69
32400, 773.35
36000, 860.77
39600, 945.47
43200, 1031.33
46800, 1117.32
50400, 1203.16
54000, 1288.19
57600, 1372.59
61200, 1458.94
64800, 1543.38
68400, 1628.04
72000, 1714.17
75600, 1800.25
79200, 1885.45
82800, 1970.54
86400, 2055.96
90000, 2141.11
93600, 2227.19
97200, 2314.49
