"R{""p_coumaric_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.67
7200, 0.54
10800, 0.68
14400, 0.53
18000, 0.57
21600, 0.59
25200, 0.6
28800, 0.59
32400, 0.7
36000, 0.61
39600, 0.47
43200, 0.68
46800, 0.57
50400, 0.71
54000, 0.55
57600, 0.8
61200, 0.62
64800, 0.54
68400, 0.59
72000, 0.73
75600, 0.66
79200, 0.47
82800, 0.64
86400, 0.72
90000, 0.58
93600, 0.61
97200, 0.55
100800, 0.55
104400, 0.58
108000, 0.52
111600, 0.4
115200, 0.7
118800, 0.7
122400, 0.57
126000, 0.69
129600, 0.61
133200, 0.61
136800, 0.71
140400, 0.69
144000, 0.62
147600, 0.62
151200, 0.62
154800, 0.6
158400, 0.47
162000, 0.53
165600, 0.62
169200, 0.76
172800, 0.5

"R{""caffeic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 2.23
7200, 2.11
10800, 2.22
14400, 1.93
18000, 2.48
21600, 2.04
25200, 2.03
28800, 2.28
32400, 2.27
36000, 2.1
39600, 1.91
43200, 2.09
46800, 2.06
50400, 2.15
54000, 2.14
57600, 2.11
61200, 2.1
64800, 2.14
68400, 2.44
72000, 2.15
75600, 2.23
79200, 2.25
82800, 2.11
86400, 2.38
90000, 2.21
93600, 2.34
97200, 1.99
100800, 1.98
104400, 2.23
108000, 1.91
111600, 1.91
115200, 2.17
118800, 2.15
122400, 2.24
126000, 2.22
129600, 2.32
133200, 1.97
136800, 2.2
140400, 2.35
144000, 2.28
147600, 2.0
151200, 2.44
154800, 1.99
158400, 2.25
162000, 2.03
165600, 2.36
169200, 2.26
172800, 2.27

"R{""ferulic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.0
7200, 0.0
10800, 0.0
14400, 0.0
18000, 0.0
21600, 0.0
25200, 0.0
28800, 0.0
32400, 0.0
36000, 0.0
39600, 0.0
43200, 0.0
46800, 0.0
50400, 0.0
54000, 0.01
57600, 0.0
61200, 0.0
