"R{""p_coumaric_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 1.07
7200, 1.01
10800, 1.01
14400, 0.82
18000, 0.88
21600, 0.93
25200, 1.01
28800, 1.01
32400, 1.09
36000, 0.97
39600, 0.97
43200, 0.99
46800, 0.77
50400, 1.06
54000, 0.82
57600, 1.1
61200, 0.9
64800, 0.86
68400, 0.95
72000, 0.88
75600, 1.06
79200, 0.97
82800, 0.92
86400, 0.97
90000, 0.71
93600, 0.74
97200, 1.01
100800, 0.87
104400, 0.9
108000, 0.87
111600, 1.07
115200, 0.93
118800, 0.89
122400, 0.8
126000, 0.89
129600, 1.05
133200, 0.92
136800, 0.88
140400, 0.94
144000, 1.03
147600, 1.07
151200, 1.13
154800, 0.89
158400, 1.11
162000, 1.19
165600, 1.11
169200, 1.11
172800, 1.19

"R{""caffeic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 9.13
7200, 9.39
10800, 9.12
14400, 9.3
18000, 9.62
21600, 9.57
25200, 9.41
28800, 9.51
32400, 8.96
36000, 9.97
39600, 9.04
43200, 9.18
46800, 8.86
50400, 9.06
54000, 9.8
57600, 9.6
61200, 9.57
64800, 9.61
68400, 9.02
72000, 9.65
75600, 9.21
79200, 9.98
82800, 9.47
86400, 9.72
90000, 8.92
93600, 8.76
97200, 9.3
100800, 9.09
104400, 9.23
108000, 9.52
111600, 9.06
115200, 9.62
118800, 9.2
122400, 9.1
126000, 9.35
129600, 9.37
133200, 9.29
136800, 8.7
140400, 8.95
144000, 9.45
147600, 9.41
151200, 9.22
154800, 9.08
158400, 9.59
162000, 9.55
165600, 9.02
169200, 8.98
172800, 9.05

"R{""ferulic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.02
7200, 0.03
10800, 0.0
14400, 0.04
18000, 0.0
21600, 0.0
25200, 0.01
28800, 0.02
32400, 0.02
36000, 0.01
39600, 0.02
43200, 0.02
46800, 0.0
50400, 0.0
54000, 0.02
57600, 0.02
61200, 0.02
64800, 0.01
68400, 0.03
72000, 0.01
75600, 0.02
79200, 0.02
82800, 0.01
86400, 0.01
90000, 0.02
93600, 0.02
97200, 0.01
100800, 0.02
104400, 0.02
108000, 0.01
111600, 0.02
115200, 0.02
118800, 0.0
122400, 0.05
126000, 0.02
129600, 0.01
133200, 0.01
136800, 0.01
140400, 0.02
144000, 0.01
147600, 0.01
151200, 0.0
154800, 0.01
158400, 0.0
162000, 0.0
165600, 0.01
169200, 0.01
172800, 0.02

"R{""p_coumaroyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.54
7200, 0.5
10800, 0.5
14400, 0.47
18000, 0.58
21600, 0.58
25200, 0.61
28800, 0.55
32400, 0.38
36000, 0.54
39600, 0.57
43200, 0.58
46800, 0.57
50400, 0.69
54000, 0.52
57600, 0.46
61200, 0.58
64800, 0.48
68400, 0.66
72000, 0.54
75600, 0.55
79200, 0.55
